City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Monterey,1,US,1524617700,62.6,10.29,36.6,-121.89,76
Pareora,0,NZ,1524618831,51.3,4.12,-44.49,171.21,89
Abha,20,SA,1524614400,62.6,5.82,18.22,42.5,77
West Wendover,1,US,1524614160,64.4,9.17,40.74,-114.07,16
Kenai,90,US,1524614160,46.4,8.05,60.55,-151.26,81
Georgetown,20,GY,1524614400,77,6.93,6.8,-58.16,88
Marystown,0,CA,1524618879,38.07,15.08,47.17,-55.16,84
Ajdabiya,0,LY,1524618879,56.07,7.81,30.75,20.22,84
Lorengau,0,PG,1524618879,85.41,6.8,-2.02,147.27,95
Heerenveen,75,NL,1524617700,53.6,19.46,52.96,5.93,87
Coahuayana,32,MX,1524618879,83.61,2.37,18.62,-100.35,53
Dikson,64,RU,1524618880,16.47,7.63,73.51,80.55,97
Kloulklubed,90,PW,1524617520,87.8,8.05,7.04,134.26,74
Rio Gallegos,0,AR,1524618000,50,9.17,-51.62,-69.22,53
Tambacounda,0,SN,1524614400,96.8,9.17,13.77,-13.67,18
Kyabram,64,AU,1524618881,66.51,4.23,-36.31,145.05,78
Mopti,0,ML,1524614400,87.8,2.77,14.49,-4.19,38
Tilichiki,0,RU,1524618882,31.59,9.75,60.47,166.1,90
Sambava,44,MG,1524618882,77.76,13.33,-14.27,50.17,100
Atar,36,MR,1524618882,71.1,9.53,20.52,-13.05,28
Jackville,20,CI,1524616200,84.2,8.05,5.21,-4.42,79
Cherskiy,0,RU,1524618883,30.51,1.99,68.75,161.3,75
Hirara,75,JP,1524614400,71.6,10.29,24.8,125.28,73
Merauke,12,ID,1524618884,85.77,13.62,-8.49,140.4,77
Nkayi,88,CG,1524618884,74.07,1.48,-4.18,13.29,94
Hamilton,90,CA,1524618000,51.8,5.82,43.26,-79.87,100
Nanortalik,56,GL,1524618885,30.87,13.33,60.14,-45.24,97
Kalabo,0,ZM,1524618885,67.5,10.31,-15,22.67,48
Dwarka,0,IN,1524618000,78.8,3.36,28.58,77.04,26
Gigmoto,32,PH,1524618886,82.08,3.56,13.78,124.39,99
Cam Ranh,8,VN,1524618886,78.84,4.79,11.92,109.15,93
Windsor,90,US,1524618000,51.8,5.82,42.3,-83.03,100
Bocaiuva,0,BR,1524614400,69.8,4.7,-17.12,-43.81,73
Baturaja,92,ID,1524618887,73.26,6.29,-4.12,104.17,98
Zhuhai,0,CN,1524614400,48.2,2.24,40.71,112.04,82
Altay,0,CN,1524618888,31.86,3.33,47.83,88.13,56
Sarai Naurang,0,PK,1524618888,63,6.85,32.83,70.78,84
Ulaanbaatar,0,MN,1524616200,44.6,4.47,47.92,106.92,33
Tautira,40,PF,1524614400,80.6,12.75,-17.73,-149.15,83
Bilibino,0,RU,1524618889,28.62,3.11,68.06,166.44,69
Cayenne,92,GF,1524618000,75.2,2.24,4.94,-52.33,100
Tual,36,ID,1524618890,84.33,12.77,-5.67,132.75,99
Viedma,92,AR,1524618890,56.52,10.09,-40.81,-62.99,83
Fayaoue,92,NC,1524618890,76.5,11.65,-20.65,166.53,100
Ketchikan,36,US,1524617580,51.8,4.7,55.34,-131.65,66
Yook,12,PH,1524618891,81.45,2.55,13.23,121.96,100
Kavaratti,8,IN,1524618891,85.59,10.42,10.57,72.64,100
Gambela,20,ET,1524618892,61.11,3.04,8.25,34.59,88
Zhigansk,80,RU,1524618892,20.97,10.42,66.77,123.37,67
Oruro,8,BO,1524618938,45,7.52,-17.97,-67.11,97
Rockhampton,0,AU,1524614400,80.6,2.24,-23.38,150.51,57
Cabra,20,ES,1524618000,59,4.7,37.47,-4.43,87
Maldonado,20,UY,1524618000,66.2,6.93,-34.91,-54.96,88
Bela,0,PK,1524618939,59.4,0.87,26.23,66.31,74
Portland,75,US,1524617580,82.4,14.99,45.52,-122.67,22
Isabela,32,PH,1524618940,80.37,3.78,10.2,122.99,84
Saint-Leu,90,RE,1524614400,77,4.7,-21.15,55.28,100
Marfino,75,RU,1524616200,46.4,6.71,56.07,37.56,66
Ordu,0,TR,1524618941,44.1,2.48,40.98,37.88,73
Hovorany,0,CZ,1524616200,57.2,1.12,48.95,16.99,71
Rawson,0,AR,1524618941,54.63,14.29,-43.3,-65.11,70
Preobrazheniye,0,RU,1524618941,55.8,2.33,42.9,133.91,41
Balikpapan,92,ID,1524618942,78.84,6.8,-1.24,116.86,100
Samarai,88,PG,1524618942,82.35,10.83,-10.62,150.67,100
Hailar,0,CN,1524618942,53.19,13.33,49.2,119.7,44
Gorontalo,92,ID,1524618942,74.16,1.48,0.54,123.06,97
Aripuana,20,BR,1524618943,78.3,2.26,-9.17,-60.63,91
Fairview,90,US,1524618360,57.2,6.93,40.81,-74,58
Norman Wells,75,CA,1524614400,39.2,9.17,65.28,-126.83,60
Ahipara,8,NZ,1524618944,65.25,9.31,-35.17,173.16,79
Rosetta,20,EG,1524614400,64.4,6.93,31.4,30.42,63
Baykit,36,RU,1524618945,21.78,5.5,61.68,96.39,62
Doha,0,QA,1524614400,77,10.29,25.29,51.53,61
Rio Grande,76,BR,1524618709,72.54,9.37,-32.03,-52.1,97
Tandil,92,AR,1524618946,62.91,14.41,-37.33,-59.14,73
Catia La Mar,40,VE,1524618000,80.6,5.82,10.6,-67.03,74
Astoria,1,US,1524617700,75.2,6.93,46.19,-123.83,31
Troitsko-Pechorsk,0,RU,1524618946,14.67,4.05,62.71,56.19,82
Ubauro,0,PK,1524618947,69.93,2.82,28.16,69.73,40
Warmbad,0,DE,1524617400,51.8,8.05,50.67,13.08,81
Kidal,20,ML,1524618947,76.59,6.24,18.44,1.41,19
Flin Flon,12,CA,1524618749,53.55,10.04,54.77,-101.88,52
Vostochnyy,75,RU,1524616200,46.4,6.71,55.82,37.87,66
Lagoa,0,PT,1524616200,60.8,4.7,37.14,-8.45,100
Mehamn,88,NO,1524618948,33.84,7.58,71.03,27.85,91
Coquimbo,0,CL,1524618000,53.6,2.24,-29.95,-71.34,93
Puerto Leguizamo,20,CO,1524618949,76.05,1.88,-0.19,-74.78,95
Ulladulla,0,AU,1524614400,68,5.82,-35.36,150.48,52
Clearwater,40,US,1524616500,73.4,6.93,27.97,-82.8,73
Abu Samrah,0,SY,1524618949,59.13,7.92,35.3,37.18,42
Sun City West,1,US,1524617580,95,10.29,33.66,-112.34,7
Chitrakonda,20,IN,1524618950,66.6,1.77,18.12,82.08,92
Karaton,88,ID,1524618950,73.17,3.22,-6.34,106.1,98
Katsuura,75,JP,1524614880,64.4,17.22,33.93,134.5,63
Podgornoye,92,RU,1524618998,42.12,5.57,57.79,82.64,93
Newport,90,GB,1524617400,48.2,13.87,51.59,-3,100
Igarka,92,RU,1524618999,22.32,10.31,67.47,86.57,91
Warkworth,80,NZ,1524614400,66.2,12.75,-36.4,174.66,63
Tessalit,0,ML,1524619000,72.9,5.79,20.2,1.01,23
Delta del Tigre,0,UY,1524618000,66.2,5.82,-34.76,-56.41,77
Ushtobe,100,KZ,1524619000,60.57,7.52,45.25,77.98,92
Loja,8,EC,1524619000,63.72,1.54,-4,-79.2,57
Goderich,92,CA,1524619001,50.4,7.74,43.74,-81.71,83
Pontal,0,BR,1524614400,71.6,4.7,-21.02,-48.04,64
Sao Joao da Barra,8,BR,1524619001,76.59,10.6,-21.64,-41.05,100
Neuruppin,75,DE,1524617400,53.6,3.36,52.92,12.81,87
Gushikawa,75,JP,1524616200,71.6,14.99,26.35,127.87,73
Havre-Saint-Pierre,40,CA,1524618000,39.2,8.05,50.23,-63.6,69
Hambantota,0,LK,1524619002,79.92,4.23,6.12,81.12,100
Willowmore,20,ZA,1524619003,44.19,1.32,-33.3,23.49,76
Pedernales,80,EC,1524619003,78.3,2.89,0.07,-80.05,81
La Ronge,90,CA,1524614400,66.2,8.05,55.1,-105.3,22
Pochutla,90,MX,1524613260,87.8,11.41,15.74,-96.47,98
Lensk,0,RU,1524619004,23.94,6.8,60.71,114.91,61
Thyboron,36,DK,1524618754,42.57,14.97,56.7,8.21,94
Palu,68,ID,1524619004,67.77,1.99,-0.9,119.87,94
Huarmey,88,PE,1524619005,69.57,3.38,-10.07,-78.15,67
Cockburn Town,44,TC,1524619005,78.39,22.46,21.46,-71.14,98
Yelandur,44,IN,1524619005,64.26,1.7,12.07,77.03,98
Taoudenni,64,ML,1524619006,76.41,10.94,22.68,-3.98,19
Moron,75,VE,1524618000,80.6,2.24,10.49,-68.2,74
Abu Kamal,0,SY,1524619006,61.11,11.05,34.45,40.92,33
Perth,40,GB,1524615600,42.8,9.17,56.4,-3.43,93
Minas,20,UY,1524618000,66.2,6.93,-34.38,-55.24,88
Aviles,88,ES,1524618000,55.4,3.36,43.55,-5.92,100
Mahibadhoo,92,MV,1524619008,85.77,11.83,3.78,72.97,98
Port Hardy,20,CA,1524614400,55.4,16.11,50.7,-127.42,50
Namatanai,64,PG,1524619009,84.06,6.02,-3.66,152.44,100
Buckeye,75,US,1524617580,96.8,9.17,33.37,-112.58,9
Ayan,0,TR,1524619009,35.64,2.26,40.67,33.6,74
Pushkinskiye Gory,76,RU,1524619010,42.93,11.32,57.02,28.91,87
Nenjiang,0,CN,1524619010,62.91,6.73,49.17,125.23,50
Channel-Port aux Basques,0,CA,1524619010,38.61,14.67,47.57,-59.14,79
Ergani,0,TR,1524617400,48.2,4.7,38.27,39.76,86
Macia,0,MZ,1524619011,66.69,5.79,-25.03,33.09,81
Labuhan,80,ID,1524619011,74.97,3,-2.54,115.51,96
Durango,1,US,1524617580,73.4,18.34,37.28,-107.88,27
Hervey Bay,0,AU,1524619012,75.24,2.55,-25.3,152.85,93
Sampit,92,ID,1524619058,73.35,5.35,-2.54,112.95,100
Te Anau,36,NZ,1524619058,51.21,6.62,-45.41,167.72,81
Lata,0,IN,1524619059,45.45,2.82,30.78,78.62,50
Toucheng,75,TW,1524616200,69.8,10.29,24.86,121.82,68
Ericeira,20,PT,1524616200,60.8,25.28,38.96,-9.42,82
Haflong,0,IN,1524619060,63.72,1.7,25.18,93.03,88
Urusha,92,RU,1524619060,43.56,10.27,54.05,122.9,67
Hobyo,44,SO,1524619060,77.67,2.04,5.35,48.53,95
Tecoanapa,75,MX,1524613680,82.4,11.41,16.99,-99.26,83
Zyryanka,20,RU,1524619061,36.18,3.27,65.73,150.89,66
Oriximina,76,BR,1524619061,76.32,2.48,-1.77,-55.87,94
Camacha,75,PT,1524616200,60.8,17.22,33.08,-16.33,72
Ugoofaaru,80,MV,1524619062,84.96,12.28,5.67,73,100
Esna,36,RO,1524619062,61.02,3.22,45.2,27.57,87
Clyde River,1,CA,1524614400,-5.81,2.24,70.47,-68.59,83
Xai-Xai,0,MZ,1524619063,70.92,11.05,-25.04,33.64,100
Khatra,0,IN,1524619063,71.46,2.21,22.98,86.85,84
Iskateley,64,RU,1524619063,23.22,15.19,67.68,53.15,84
Zerbst,0,DE,1524617400,53.6,10.29,51.96,12.09,81
Pimentel,48,BR,1524619064,76.5,2.33,-3.7,-45.5,93
Wanning,20,AT,1524617400,51.8,1.12,48.64,13.53,87
Whyalla,40,AU,1524614400,69.8,8.05,-33.04,137.58,73
Agra,0,IN,1524619065,63.9,2.82,27.18,78.01,38
Tabou,36,CI,1524619065,82.71,9.26,4.42,-7.36,98
Guiyang,90,CN,1524614400,53.6,4.47,26.58,106.71,100
Marsaxlokk,0,MT,1524617100,59,2.24,35.84,14.54,62
Karasjok,88,NO,1524617400,37.4,10.29,69.47,25.52,94
Puerto Carreno,75,CO,1524614400,82.4,10.29,6.19,-67.49,74
Eisenberg,0,DE,1524617400,53.6,10.29,50.97,11.9,81
Mackenzie,75,CA,1524618000,50,11.41,55.34,-123.09,69
Paitan,75,CN,1524616200,73.4,6.71,23.49,113.78,64
Abalak,0,NE,1524619067,73.17,2.77,15.46,6.28,54
Kurilsk,36,RU,1524619068,40.68,5.61,45.23,147.88,85
Romny,0,UA,1524619068,45.72,6.4,50.74,33.49,89
Kasane,0,BW,1524619068,56.97,3,-17.8,25.16,65
Biak,92,ID,1524619068,76.5,6.62,-0.91,122.88,100
Laguna,75,MX,1524613500,89.6,8.05,27.52,-110.01,11
Amapa,40,HN,1524618000,82.4,11.41,15.09,-87.97,88
Vaitape,64,PF,1524619070,79.83,4.23,-16.52,-151.75,100
Leeton,44,AU,1524619070,70.56,6.06,-34.55,146.4,45
Nara,75,JP,1524616560,62.6,8.05,34.68,135.8,93
Ngunguru,32,NZ,1524619071,64.17,11.61,-35.62,174.5,100
Mishkino,0,RU,1524616200,32,4.47,56.22,46.62,75
Tarakan,92,ID,1524619071,75.6,5.12,3.3,117.63,100
Belaya Gora,76,RU,1524619118,25.47,9.82,68.54,146.19,99
Guantanamo,64,BO,1524619118,82.71,3.49,-16.14,-62.05,48
Gweta,0,BW,1524619118,62.91,10.54,-20.21,25.26,50
Tirat Karmel,80,IL,1524619119,67.23,17.87,32.76,34.97,100
Vagur,36,FO,1524619119,45.63,12.1,61.47,-6.81,100
Kindu,76,CD,1524619119,69.39,1.77,-2.95,25.92,100
Kiunga,88,PG,1524619120,76.5,2.21,-6.12,141.3,96
Yumen,0,CN,1524619120,47.79,6.73,40.29,97.04,45
Baruun-Urt,0,MN,1524619120,49.5,15.12,46.68,113.28,41
Tuatapere,8,NZ,1524619120,57.24,13.4,-46.13,167.69,88
Aguas Formosas,68,BR,1524619121,68.58,5.06,-17.08,-40.94,96
Rong Kwang,0,TH,1524619121,73.71,3.71,18.34,100.32,89
Petatlan,75,MX,1524613800,84.2,5.82,17.52,-101.27,62
Iracoubo,56,GF,1524619122,75.87,2.89,5.48,-53.21,94
Teguldet,56,RU,1524619122,38.43,6.29,57.31,88.17,89
Kholmy,0,UA,1524619122,48.24,10.65,51.87,32.6,80
Preeceville,0,CA,1524619122,50.49,6.4,51.95,-102.67,58
Kajaani,90,FI,1524617400,35.6,6.93,64.22,27.73,93
Russell,0,AR,1524618000,60.8,3.36,-33.01,-68.8,82
Shestakovo,0,RU,1524619123,33.3,4.9,56.49,103.96,70
Kazanka,0,UA,1524616200,50,4.47,47.83,32.83,87
Sungaipenuh,76,ID,1524619124,66.06,1.1,-2.08,101.38,95
Petrivka,92,UA,1524619124,52.92,7.58,48.39,37.78,85
Ternate,75,PH,1524614400,86,4.7,14.29,120.72,74
Mineiros,20,BR,1524619125,70.38,5.57,-17.57,-52.55,67
Kaeo,20,NZ,1524619125,67.32,8.59,-35.1,173.78,60
Keetmanshoop,0,NA,1524619125,59.4,4.12,-26.57,18.15,44
Minot,1,US,1524617760,59,6.93,48.23,-101.3,20
Los Llanos de Aridane,64,ES,1524618000,64.4,4.7,28.66,-17.92,68
Osakarovka,0,KZ,1524619126,42.57,11.43,50.56,72.58,94
Luderitz,24,NA,1524619127,57.15,1.81,-26.65,15.16,93
Honiara,90,SB,1524614400,84.2,4.7,-9.43,159.96,79
Cotoca,75,BO,1524614400,71.6,4.38,-17.75,-63,94
Slave Lake,90,CA,1524618000,48.2,16.11,55.28,-114.77,45
Salisbury,0,GB,1524617400,48.2,11.41,51.07,-1.8,87
Okhotsk,88,RU,1524619128,31.68,4.05,59.36,143.24,88
Saint-Pierre,0,FR,1524618000,57.2,9.17,48.95,4.24,87
Phetchaburi,8,TH,1524619129,84.87,1.77,13.1,99.94,100
Conceicao do Araguaia,8,BR,1524618997,75.51,4.72,-8.26,-49.26,91
Djenne,0,ML,1524619129,85.41,9.31,13.91,-4.55,36
Ust-Ilimsk,0,RU,1524619130,29.34,5.73,57.96,102.73,55
Mapiri,48,BO,1524619130,53.46,1.48,-15.31,-68.22,99
Marovoay,20,MG,1524614400,73.4,2.24,-16.11,46.64,94
Vanimo,0,PG,1524619178,83.34,2.89,-2.67,141.3,100
Sola,75,NO,1524617400,44.6,3.36,58.89,5.65,97
San Cristobal,40,EC,1524618000,57.2,8.05,-0.39,-78.55,71
Zhezkazgan,90,KZ,1524614400,41,4.47,47.8,67.71,75
Albion,90,US,1524617760,48.2,13.87,41.69,-98,93
Lyaskelya,92,RU,1524619180,36.72,5.84,61.77,31.02,100
Nanakuli,90,US,1524614880,82.4,10.29,21.39,-158.15,88
Izazi,12,TZ,1524619181,62.01,2.21,-7.24,35.72,92
Xining,92,CN,1524619181,35.1,3.6,36.62,101.77,100
Neryungri,0,RU,1524619181,26.28,12.77,56.66,124.71,57
Sibolga,44,ID,1524619182,68.31,1.77,1.74,98.78,98
Maceio,0,BR,1524618000,77,5.82,-9.67,-35.74,83
Victor Harbor,75,AU,1524614400,64.4,6.93,-35.55,138.62,72
Dudinka,92,RU,1524619182,19.08,9.31,69.41,86.18,91
Dalby,0,AU,1524619183,67.68,5.91,-27.18,151.26,78
Zvishavane,0,ZW,1524619183,52.2,2.71,-20.32,30.05,81
Deputatskiy,68,RU,1524619183,29.07,4,69.3,139.9,89
Dzilam Gonzalez,20,MX,1524619184,81.18,2.1,21.28,-88.93,78
Caticlan,0,PH,1524619184,81.72,9.31,11.93,121.96,100
Vryburg,0,ZA,1524619184,49.59,6.13,-26.96,24.73,52
Moose Factory,90,CA,1524618000,33.8,5.82,51.26,-80.61,80
Pangai,40,TO,1524614400,82.4,10.29,-19.8,-174.35,74
High Level,40,CA,1524618000,55.4,9.17,58.52,-117.13,28
Naze,76,NG,1524619185,75.6,5.01,5.43,7.07,94
Beyneu,32,KZ,1524619185,36,7.14,45.32,55.19,65
Shingu,75,JP,1524614400,60.8,19.46,33.72,135.99,87
Krasnoarmeysk,75,RU,1524616200,46.4,6.71,56.12,38.15,56
Markova,0,RU,1524614400,50,11.18,52.21,104.21,66
Emerald,0,AU,1524619186,75.15,4.27,-23.53,148.16,44
Aliaga,40,PH,1524614400,82.4,4.7,15.5,120.85,74
Christchurch,48,NZ,1524614400,59,4.7,-43.53,172.64,72
Luau,0,CD,1524619187,67.41,4.56,-10.7,22.23,61
Vilhena,20,BR,1524619188,75.33,3.33,-12.74,-60.15,77
Ambon,90,FR,1524616200,55.4,10.29,47.55,-2.56,93
Bonthe,0,SL,1524619188,79.74,4.38,7.53,-12.5,89
Carutapera,24,BR,1524619189,77.22,5.5,-1.2,-46.02,96
Cabedelo,90,BR,1524614400,77,9.17,-6.97,-34.84,88
Verkhoyansk,92,RU,1524619189,25.92,3.49,67.55,133.39,75
Tulungagung,0,ID,1524619189,72.36,4.9,-8.06,111.9,90
Yeppoon,0,AU,1524614400,80.6,2.24,-23.13,150.74,57
Fare,48,PF,1524619190,81.09,6.35,-16.7,-151.02,100
San Policarpo,76,PH,1524619190,80.82,5.06,12.18,125.51,100
Playas,8,EC,1524619190,78.84,9.37,-2.64,-80.39,67
Flinders,0,AU,1524614400,68,5.82,-34.58,150.85,52
Wanganui,12,NZ,1524619191,61.83,9.15,-39.93,175.05,92
Muros,90,ES,1524618000,51.8,6.93,42.77,-9.06,93
